doc_id,label,num_tokens,text
PgZVTC_76_0,0,15,My SO snored so loud one night that it scared me out of my sleep.
PgZVTC_76_1,0,17,Having a snoring roommate or SO can be very infuriating due to your lack of sleep now.
PgZVTC_80_2,0,8,It drowns him out and I can sleep.
PgZVTC_80_3,0,10,Try that :/ hopefully a solution comes your way soon.
PgZVTC_86_2,0,10,"Except, it was a group of boys talking behind me."
PgZVTC_86_3,0,11,I couldn't concentrate or pay attention to my professor at all.
PgZVTC_86_4,0,21,"So I got up in the middle of class and blatantly moved all my things to the front, away from them."
PgZVTC_87_3,0,21,My best friend told me that everything happens for a reason though.. And things do and will get better with time.
PgZVTC_87_4,0,3,Hang in there.
PgZVTC_88_3,0,21,My best friend told me that everything happens for a reason though.. And things do and will get better with time.
PgZVTC_88_4,0,3,Hang in there.
PgZVTC_95_1,0,6,Ditto... Makes me sad too. :/
PgZVTC_95_2,0,11,some people just have to learn the hard way I guess.
PgZVTC_102_5,0,4,I felt so stupid.
PgZVTC_117_1,0,11,She definitely must have some self esteem issues of her own.
PgZVTC_161_0,0,2,Fingers crossed!!
PgZVTC_164_2,0,8,Cross that bish  off when I finish it.
PgZVTC_171_1,0,19,Something to do with thinking you have enough time to do many things before you have to be somewhere.
PgZVTC_172_5,0,7,"You shouldn't feel guilty, because I don't."
PgZVTC_194_0,0,2,LOL literally!
PgZVTC_202_5,0,14,I miss her all the time and can't talk about her without getting emotional.
PgZVTC_202_6,0,19,The pain never goes away but you just learn to accept it and deal with it.. you'll get there.
PgZVTC_212_0,0,4,I can't stop crying.
PgZVTC_212_1,0,4,It's been several hours.
PgZVTC_214_1,0,11,This is one of the hardest decisions that I've ever made.
PgZVTC_214_2,0,17,I've never felt pain like this in my entire life and hope I never do after this.
PgZVTC_214_7,0,18,"But until that day comes, we just have to focus on taking it one day at a time."
PgZVTC_243_6,0,5,"I, however, was instantly irritated."
mR9stN_29_0,0,9,I think I'm gonna go with the first one.
mR9stN_29_1,0,6,I'm very confident in my decision.
mR9stN_85_0,0,12,So I guess I have about 18 weeks to look forward to!
mR9stN_88_26,0,21,"I'm still genuinely upset about it, but my thankfully rationality is telling my heart to shut it for the time being."
mR9stN_96_1,0,1,Seriously.
mR9stN_96_2,0,4,I cried over TWITTER.
mR9stN_96_3,0,28,"I'm not much of a crier in the first place, so when the tears hit me because of a stupid social media non-issue, I just let 'em come."
mR9stN_121_0,0,13,I know I should enjoy every second but I cannot WAIT for hiccups!
mR9stN_123_2,0,6,Maybe this IS a good thing!
mR9stN_138_0,0,14,"I'm 20, close to graduating college and knocked up, so I feel you, sister."
mR9stN_138_1,0,7,This thread has just made me sad.
mR9stN_140_3,0,9,And that makes me feel like a real jerk.
mR9stN_142_5,0,5,It happened twice this week!
mR9stN_168_6,0,6,Why have I been depriving myself.
mR9stN_168_7,0,11,I thought that I could manage without them but never again.
mR9stN_168_13,0,1,Seriously.
mR9stN_168_22,0,4,My mood is high!
mR9stN_168_23,0,19,I just have to get through finals this week and I'll have the whole summer to gestate and work.
mR9stN_180_0,0,16,"Excuse my bathroom, but here's to the start of the third trimester - my 27th week!"
mR9stN_180_1,0,30,"Starting to feel constantly sleepy again, but I pinched myself awake for my little brother's graduation and even managed to make the 4-hour car ride with only one potty break!"
mR9stN_180_2,0,1,http://i.imgur.com/9hiPTj8.jpg
mR9stN_190_0,0,18,"I'm 29 weeks along with my first, a girl, and I am so detached that I'm worried, too."
mR9stN_190_2,0,24,"It's not that I don't want her; I do, I'm just not quite up to calling her by her name or talking to her."
